                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.96741,                0.55013,                 1.0651,                0.96411,                0.94903,                0.98523,                0.72174,                0.93255,                0.54193,                 1.0341,             0.00077223,             0.00077223,             0.00077223
                    116,                0.95618,                0.54501,                 1.0607,                0.95883,                0.95568,                 0.9848,                0.72101,                0.93425,                0.54261,                 1.0324,             0.00077023,             0.00077023,             0.00077023
                    117,                 0.9532,                0.53936,                 1.0574,                0.95965,                0.95457,                0.98555,                0.72421,                0.92703,                 0.5372,                 1.0319,             0.00076823,             0.00076823,             0.00076823
                    118,                0.95651,                0.53972,                 1.0627,                0.96457,                0.95017,                0.98489,                0.71596,                0.96073,                0.54094,                 1.0368,             0.00076623,             0.00076623,             0.00076623
                    119,                0.97061,                0.55084,                 1.0672,                0.96453,                0.94904,                0.98528,                0.72647,                0.91736,                  0.541,                 1.0297,             0.00076424,             0.00076424,             0.00076424
                    120,                0.96873,                0.54345,                 1.0613,                0.96822,                0.94537,                0.98501,                0.72805,                0.90793,                0.53764,                 1.0277,             0.00076224,             0.00076224,             0.00076224
                    121,                0.96918,                 0.5444,                 1.0645,                 0.9694,                0.94774,                0.98411,                0.71662,                0.95959,                0.54436,                  1.037,             0.00076024,             0.00076024,             0.00076024
                    122,                  0.957,                 0.5417,                 1.0607,                0.96833,                0.94876,                0.98488,                0.71291,                0.96746,                0.54573,                 1.0414,             0.00075824,             0.00075824,             0.00075824
                    123,                0.97562,                 0.5456,                 1.0669,                0.95364,                  0.959,                0.98557,                0.72795,                 0.9066,                0.53723,                  1.031,             0.00075624,             0.00075624,             0.00075624
                    124,                0.95655,                 0.5374,                 1.0594,                0.96997,                0.94837,                0.98638,                0.72556,                0.91854,                0.53409,                 1.0294,             0.00075425,             0.00075425,             0.00075425
                    125,                0.94442,                0.53993,                 1.0565,                0.97091,                 0.9432,                0.98552,                0.72182,                0.93726,                 0.5364,                 1.0318,             0.00075225,             0.00075225,             0.00075225
                    126,                0.94738,                0.53924,                 1.0562,                0.96139,                0.95125,                0.98566,                0.72876,                0.90233,                0.53579,                 1.0296,             0.00075025,             0.00075025,             0.00075025
                    127,                0.94814,                0.53545,                 1.0581,                0.95723,                0.95465,                0.98607,                0.72744,                0.90692,                0.53533,                 1.0291,             0.00074825,             0.00074825,             0.00074825
                    128,                0.95329,                0.54056,                 1.0581,                0.96839,                0.95041,                0.98647,                0.72548,                0.91839,                0.53321,                 1.0313,             0.00074625,             0.00074625,             0.00074625
                    129,                0.94537,                0.53162,                 1.0577,                0.96792,                0.94958,                0.98631,                0.72922,                0.90709,                0.53245,                 1.0286,             0.00074426,             0.00074426,             0.00074426
                    130,                0.94047,                0.53167,                 1.0548,                0.96306,                0.95326,                0.98631,                0.72389,                0.92137,                0.53426,                 1.0313,             0.00074226,             0.00074226,             0.00074226
                    131,                0.93659,                0.53036,                 1.0535,                0.96549,                0.95125,                0.98662,                0.72411,                0.92714,                0.53003,                 1.0325,             0.00074026,             0.00074026,             0.00074026
                    132,                0.95054,                 0.5332,                  1.055,                0.97102,                0.94675,                0.98582,                0.72479,                0.92894,                0.52951,                 1.0334,             0.00073826,             0.00073826,             0.00073826
                    133,                0.94684,                0.53084,                 1.0602,                0.96834,                0.94887,                 0.9857,                0.71927,                0.94923,                0.53224,                 1.0399,             0.00073626,             0.00073626,             0.00073626
                    134,                0.94803,                0.52779,                 1.0522,                0.96789,                0.94848,                0.98565,                0.72128,                0.93875,                0.53114,                 1.0369,             0.00073427,             0.00073427,             0.00073427
                    135,                0.92463,                0.52582,                 1.0461,                0.96836,                0.94903,                0.98605,                0.72068,                0.93531,                 0.5273,                 1.0375,             0.00073227,             0.00073227,             0.00073227
                    136,                0.96058,                0.53205,                   1.06,                 0.9673,                0.95066,                0.98574,                0.72187,                0.93876,                0.52367,                 1.0372,             0.00073027,             0.00073027,             0.00073027
                    137,                 0.9378,                0.52462,                 1.0489,                0.96421,                0.95346,                0.98662,                0.72859,                0.91667,                0.51853,                 1.0301,             0.00072827,             0.00072827,             0.00072827
                    138,                0.93453,                0.52523,                 1.0495,                0.96799,                0.95496,                0.98798,                0.72708,                0.92401,                0.51928,                 1.0308,             0.00072627,             0.00072627,             0.00072627
                    139,                0.93981,                0.53511,                 1.0528,                 0.9679,                0.95215,                0.98678,                0.72379,                0.93115,                0.52251,                  1.031,             0.00072428,             0.00072428,             0.00072428
                    140,                0.93951,                0.52981,                 1.0542,                0.97107,                0.94827,                0.98666,                0.72824,                0.91812,                0.52049,                 1.0295,             0.00072228,             0.00072228,             0.00072228
                    141,                0.94492,                0.53355,                 1.0567,                0.96947,                0.94987,                0.98625,                0.73022,                0.90044,                0.52145,                 1.0271,             0.00072028,             0.00072028,             0.00072028
                    142,                0.93842,                0.52854,                 1.0483,                0.97131,                0.94903,                0.98733,                0.73035,                0.90097,                 0.5196,                 1.0277,             0.00071828,             0.00071828,             0.00071828
                    143,                 0.9343,                0.52343,                 1.0454,                0.97268,                 0.9468,                0.98688,                0.73195,                0.90614,                0.51992,                 1.0294,             0.00071628,             0.00071628,             0.00071628
                    144,                0.94079,                 0.5246,                 1.0539,                0.97412,                0.94681,                0.98719,                0.72966,                0.90903,                0.52331,                 1.0277,             0.00071429,             0.00071429,             0.00071429
                    145,                0.94605,                0.52635,                 1.0595,                0.97378,                0.94641,                0.98664,                0.72087,                 0.9476,                0.52432,                  1.034,             0.00071229,             0.00071229,             0.00071229
                    146,                0.94914,                0.52655,                  1.056,                0.96725,                0.94891,                0.98617,                0.73015,                0.91008,                0.51983,                  1.028,             0.00071029,             0.00071029,             0.00071029
                    147,                0.93562,                0.52081,                 1.0484,                0.96954,                0.95217,                 0.9867,                0.72808,                0.91645,                0.51632,                 1.0305,             0.00070829,             0.00070829,             0.00070829
                    148,                0.94054,                0.52431,                 1.0499,                0.96549,                0.95346,                0.98603,                0.72847,                0.91179,                  0.516,                 1.0294,             0.00070629,             0.00070629,             0.00070629
                    149,                 0.9386,                0.51901,                 1.0509,                0.97107,                0.94571,                0.98572,                0.72855,                0.91153,                0.51472,                 1.0302,              0.0007043,              0.0007043,              0.0007043
                    150,                0.93884,                0.52365,                   1.05,                0.96898,                 0.9518,                0.98663,                0.72362,                0.92575,                 0.5152,                 1.0319,              0.0007023,              0.0007023,              0.0007023
                    151,                0.93011,                0.51764,                 1.0482,                0.96902,                0.95323,                0.98685,                0.72845,                0.90764,                0.51155,                 1.0296,              0.0007003,              0.0007003,              0.0007003
